match_id,Kampnavn,Kampdato,Kampstart,Sæson,Turnering,Hjemmehold,Udehold,weekday,month,kickoff_hour,season_weather,tickets_sold,avg_scans,peak_scans,total_revenue_DKK,fb_peak_orders
1116,2023-03-12 | Brøndby IF - Silkeborg IF,2023-03-12,2023-03-12 18:00:00,2022/23,Superliga ,Brøndby IF,Silkeborg IF,6,3,18,Forår,13307,19191,13,1515073.75,338.0
1247,2023-04-02 | Brøndby IF - Viborg FF,2023-04-02,2023-04-02 16:00:00,2022/23,Superliga ,Brøndby IF,Viborg FF,6,4,16,Forår,11345,17810,10,1432405.0,315.0
1248,2023-04-16 | Brøndby IF - AGF,2023-04-16,2023-04-16 18:00:00,2022/23,Superliga ,Brøndby IF,AGF,6,4,18,Forår,10454,16124,10,1370498.75,322.0
1249,2023-04-23 | Brøndby IF - Randers FC,2023-04-23,2023-04-23 16:00:00,2022/23,Superliga ,Brøndby IF,Randers FC,6,4,16,Forår,11747,17108,11,1283452.5,313.0
1250,2023-05-14 | Brøndby IF - FC København,2023-05-14,2023-05-14 16:00:00,2022/23,Superliga ,Brøndby IF,FC København,6,5,16,Forår,14838,24463,11,2608788.75,398.0
1251,2023-05-29 | Brøndby IF - FC Nordsjælland,2023-05-29,2023-05-29 18:00:00,2022/23,Superliga ,Brøndby IF,FC Nordsjælland,0,5,18,Forår,13317,19279,12,1670295.0,349.0
1544,2023-07-30 | Brøndby IF - OB,2023-07-30,2023-07-30 18:00:00,2023/24,Superliga ,Brøndby IF,OB,6,7,18,Sommer,15173,22706,11,2047908.75,367.0
1577,2023-08-13 | Brøndby IF - Lyngby BK,2023-08-13,2023-08-13 16:00:00,2023/24,Superliga ,Brøndby IF,Lyngby BK,6,8,16,Sommer,13719,20061,12,1684145.63,400.0
1610,2023-09-03 | Brøndby IF - Randers FC,2023-09-03,2023-09-03 16:00:00,2023/24,Superliga ,Brøndby IF,Randers FC,6,9,16,Efterår,13907,21063,15,1721756.26,360.0
1742,2023-09-24 | Brøndby IF - FC København,2023-09-24,2023-09-24 14:00:00,2023/24,Superliga ,Brøndby IF,FC København,6,9,14,Efterår,18235,25838,11,2804184.16,453.0
