match_id,Kampnavn,Kampdato,Kampstart,Sæson,Turnering,Hjemmehold,Udehold,weekday,month,kickoff_hour,season_weather,tickets_sold,avg_scans,peak_scans,total_revenue_DKK,fb_peak_orders,Sydsiden_total,Familietribune_total,Lounges_total,Udebane_total,Andre_total
1909,2023-12-03 | Brøndby IF - Hvidovre IF,2023-12-03,2023-12-03 16:00:00,2023/24,Superliga ,Brøndby IF,Hvidovre IF,6,12,16,Vinter,12469,16784,12,1120968.75,270.0,6976.0,0.0,2344.0,247.0,2902.0
2039,2023-12-10 | Brøndby IF - AGF,2023-12-10,2023-12-10 15:30:00,2023/24,DBU Pokalen ,Brøndby IF,AGF,6,12,15,Vinter,9592,12931,10,870201.25,295.0,6078.0,0.0,1268.0,860.0,1386.0
2138,2024-02-18 | Brøndby IF - FC Midtjylland,2024-02-18,2024-02-18 18:00:00,2023/24,Superliga ,Brøndby IF,FC Midtjylland,6,2,18,Vinter,15069,21362,11,1737524.16,336.0,9996.0,0.0,2208.0,624.0,2241.0
2171,2024-03-03 | Brøndby IF - Vejle BK,2024-03-03,2024-03-03 16:00:00,2023/24,Superliga ,Brøndby IF,Vejle BK,6,3,16,Forår,15623,23100,12,1748274.89,365.0,9966.0,0.0,2100.0,354.0,3203.0
2204,2024-03-17 | Brøndby IF - Silkeborg IF,2024-03-17,2024-03-17 17:00:00,2023/24,Superliga ,Brøndby IF,Silkeborg IF,6,3,17,Forår,15473,22515,13,1779950.32,348.0,9850.0,0.0,2364.0,272.0,2987.0
2336,2024-05-12 | Brøndby IF - FC København,2024-05-12,2024-05-12 16:00:00,2023/24,Superliga ,Brøndby IF,FC København,6,5,16,Forår,15626,26252,12,3026181.14,370.0,10418.0,0.0,2868.0,2150.0,190.0
2337,2024-04-21 | Brøndby IF - FC Midtjylland,2024-04-21,2024-04-21 18:00:00,2023/24,Superliga ,Brøndby IF,FC Midtjylland,6,4,18,Forår,15527,24361,14,2165587.92,379.0,10754.0,0.0,2540.0,637.0,1596.0
2369,2024-05-26 | Brøndby IF - AGF,2024-05-26,2024-05-26 17:00:00,2023/24,Superliga ,Brøndby IF,AGF,6,5,17,Forår,15723,27142,13,4653124.21,401.0,10168.0,0.0,2868.0,623.0,2064.0
2402,2024-05-15 | Brøndby IF - FC Nordsjælland,2024-05-15,2024-05-15 20:00:00,2023/24,Superliga ,Brøndby IF,FC Nordsjælland,2,5,20,Forår,15985,22512,13,1892340.11,378.0,10452.0,0.0,2448.0,641.0,2444.0
2435,2024-04-08 | Brøndby IF - Silkeborg IF,2024-04-08,2024-04-08 19:00:00,2023/24,Superliga ,Brøndby IF,Silkeborg IF,0,4,19,Forår,11859,18119,12,1430694.65,307.0,176.0,0.0,1600.0,0.0,10083.0
